time,price,volume
2013-10-23,217.9925,24428.16
2013-10-24,213.79000000000002,20138.954999999998
2013-10-25,220.2,20365.399999999998
2013-10-26,219.22,7586.555
2013-10-27,210.2325,6202.37
2013-10-28,211.9025,21543.97
2013-10-29,219.01000000000002,11772.14
2013-10-30,222.535,17191.969999999998
2013-10-31,220.91500000000002,5623.435
2013-11-01,222.72249999999997,9300.609999999999
2013-11-02,230.33,6523.455
2013-11-03,239.7225,2855.215
2013-11-04,249.6525,17183.075
2013-11-05,258.325,23011.035
2013-11-06,276.02750000000003,12820.689999999999
2013-11-07,305.115,22677.760000000002
2013-11-08,332.705,27966.84
2013-11-09,385.155,13588.655
2013-11-10,375.1525,6735.485000000001
2013-11-11,382.84749999999997,21643.385
2013-11-12,396.45500000000004,28451.925000000003
2013-11-13,419.82250000000005,39770.924999999996
2013-11-14,455.365,32293.565
2013-11-15,468.2775,19353.0
2013-11-16,501.59000000000003,22162.265
2013-11-17,511.54,13977.93
2013-11-18,677.93,58521.66
2013-11-19,785.3275,45466.84
2013-11-20,718.6175000000001,21254.755
2013-11-21,764.9550000000002,37816.585
2013-11-22,783.395,30387.07
2013-11-23,859.0,5704.035
2013-11-24,942.935,11311.39
2013-11-25,906.7525,21336.63
2013-11-26,953.5500000000001,43783.34
2013-11-27,1048.4775,44560.200000000004
2013-11-28,1088.4825,73397.08499999999
2013-11-29,1249.73,76314.34
2013-11-30,1324.7224999999999,23510.695
2013-12-01,1243.275,13818.580000000002
2013-12-02,1271.33,79854.56999999999
2013-12-03,1226.6625,75137.61
2013-12-04,1260.0149999999999,64783.975
2013-12-05,1291.105,48090.405
2013-12-06,1182.01,22751.44
2013-12-07,1017.0425,14806.45
2013-12-08,1001.8525,8393.48
2013-12-09,1113.19,22902.73
2013-12-10,1067.1025,27037.595
2013-12-11,1095.5774999999999,34684.62
2013-12-12,1078.095,34558.795
2013-12-13,1046.1599999999999,34817.53999999999
2013-12-14,1064.0375,5318.505
2013-12-15,1086.9675,7814.95
2013-12-16,989.0449999999998,43679.295
2013-12-17,910.1175000000001,26902.010000000002
2013-12-18,790.165,38214.555
2013-12-19,756.5625,29897.145
2013-12-20,791.155,21685.255
2013-12-21,875.9449999999999,6556.32
2013-12-22,787.4575,7720.0599999999995
2013-12-23,885.1700000000001,17278.685
2013-12-24,828.8575,19918.45
2013-12-25,875.6625,784.9300000000001
2013-12-26,830.7575,4759.81
2013-12-27,861.4975,14526.07
2013-12-28,860.55,10075.73
2013-12-29,827.1875,6347.225
2013-12-30,870.1875,15262.375
2013-12-31,883.585,7692.32
2014-01-01,859.965,5756.945
2014-01-02,865.6324999999999,18222.4
2014-01-03,974.6925,21857.679999999997
2014-01-04,973.4625,7490.905
2014-01-05,1014.38,4265.52
2014-01-06,1105.7725,23227.28
2014-01-07,1261.7025,19927.899999999998
2014-01-08,1105.6200000000001,19844.645
2014-01-09,1007.5224999999999,17679.77
2014-01-10,1047.5774999999999,16371.85
2014-01-11,974.37,15172.33
2014-01-12,986.3625,6163.495
2014-01-13,994.525,40027.37
2014-01-14,1029.1325000000002,34739.985
2014-01-15,1078.765,26998.64
2014-01-16,1066.0025,31200.45
